Tree,EL,FN,,
Phylonet,118,0.375,,
Phylonet,120,0.375,,
Phylonet,126,0.375,,
Phylonet,145,0.5,,
Phylonet,144,0.5,,
Phylonet,494,0.875,,
Phylonet,392,0.875,,
Phylonet,362,0.75,,
Phylonet,402,0.875,,
Phylonet,402,0.875,,
Phylonet,274,0.75,,
Phylonet,249,0.625,,
Phylonet,186,0.625,,
Phylonet,162,0.5,,
Phylonet,121,0.5,,
Phylonet,118,0.375,,
Phylonet,113,0.375,,
Phylonet,114,0.375,,
Phylonet,118,0.375,,
Phylonet,136,0.5,,
Phylonet,137,0.5,,
Phylonet,354,0.625,,
Phylonet,279,0.625,,
Phylonet,249,0.5,,
Phylonet,289,0.625,,
Phylonet,289,0.625,,
Phylonet,188,0.5,,
Phylonet,163,0.375,,
Phylonet,127,0.375,,
Phylonet,103,0.25,,
Phylonet,89,0.25,,
Phylonet,86,0.125,,
Phylonet,93,0.25,,
Phylonet,107,0.375,,
Phylonet,106,0.375,,
Phylonet,102,0.375,,
Phylonet,101,0.375,,
Phylonet,397,0.75,,
Phylonet,319,0.75,,
Phylonet,283,0.625,,
Phylonet,335,0.75,,
Phylonet,335,0.75,,
Phylonet,219,0.625,,
Phylonet,188,0.5,,
Phylonet,149,0.5,,
Phylonet,119,0.375,,
Phylonet,102,0.375,,
Phylonet,93,0.25,,
Phylonet,86,0.125,,
Phylonet,106,0.25,,
Phylonet,103,0.25,,
Phylonet,510,0.875,,
Phylonet,407,0.875,,
Phylonet,377,0.75,,
Phylonet,417,0.875,,
Phylonet,417,0.875,,
Phylonet,288,0.75,,
Phylonet,263,0.625,,
Phylonet,199,0.625,,
Phylonet,175,0.5,,
Phylonet,135,0.5,,
Phylonet,130,0.375,,
Phylonet,111,0.375,,
Phylonet,101,0.375,,
Phylonet,126,0.5,,
Phylonet,125,0.5,,
Phylonet,102,0.375,,
Phylonet,516,0.875,,
Phylonet,412,0.875,,
Phylonet,382,0.75,,
Phylonet,422,0.875,,
Phylonet,422,0.875,,
Phylonet,292,0.75,,
Phylonet,267,0.625,,
Phylonet,202,0.625,,
Phylonet,178,0.5,,
Phylonet,137,0.5,,
Phylonet,132,0.375,,
Phylonet,112,0.375,,
Phylonet,102,0.375,,
Phylonet,126,0.5,,
Phylonet,127,0.5,,
Phylonet,101,0.375,,
TrueTree,118,0.125,,
TrueTree,161,0.25,,
TrueTree,132,0.25,,
TrueTree,86,0.125,,
TrueTree,377,0.625,,
TrueTree,130,0.25,,
TrueTree,142,0.25,,
TrueTree,241,0.875,,
TrueTree,151,0.375,,
TrueTree,152,0.25,,
TrueTree,117,0.125,,
TrueTree,90,0.125,,
TrueTree,112,0.25,,
TrueTree,86,0.125,,
TrueTree,214,0.5,,
TrueTree,99,0.125,,
TrueTree,109,0.125,,
TrueTree,105,0.125,,
TrueTree,158,0.375,,
TrueTree,331,0.625,,
TrueTree,136,0.125,,
TrueTree,230,0.75,,
TrueTree,191,0.5,,
TrueTree,143,0.25,,
TrueTree,118,0.125,,
TrueTree,622,0.875,,
TrueTree,392,0.625,,
TrueTree,272,0.5,,
TrueTree,160,0.375,,
TrueTree,190,0.375,,
TrueTree,289,0.5,,
TrueTree,509,0.75,,
TrueTree,252,0.5,,
TrueTree,133,0.375,,
TrueTree,86,0.125,,
TrueTree,164,0.25,,
TrueTree,554,0.875,,
TrueTree,154,0.25,,
TrueTree,155,0.375,,
TrueTree,176,0.375,,
TrueTree,156,0.25,,
TrueTree,371,0.625,,
TrueTree,292,0.5,,
TrueTree,303,0.625,,
TrueTree,109,0.125,,
TrueTree,131,0.25,,
TrueTree,104,0.125,,
TrueTree,231,0.375,,
TrueTree,101,0.125,,
TrueTree,107,0.25,,
TrueTree,226,0.75,,
TrueTree,499,0.75,,
TrueTree,191,0.375,,
TrueTree,136,0.125,,
TrueTree,338,0.625,,
TrueTree,128,0.25,,
TrueTree,142,0.25,,
TrueTree,99,0.125,,
TrueTree,109,0.125,,
TrueTree,124,0.25,,
TrueTree,191,0.5,,
TrueTree,501,0.75,,
TrueTree,282,0.5,,
TrueTree,132,0.25,,
TrueTree,118,0.25,,
TrueTree,470,0.75,,
TrueTree,108,0.25,,
TrueTree,281,0.5,,
TrueTree,99,0.125,,
TrueTree,118,0.125,,
TrueTree,268,0.5,,
TrueTree,211,0.625,,
TrueTree,176,0.375,,
TrueTree,190,0.375,,
TrueTree,499,0.75,,
TrueTree,159,0.375,,
TrueTree,260,0.625,,
TrueTree,112,0.125,,
TrueTree,388,0.625,,
TrueTree,104,0.125,,
TrueTree,95,0.125,,
TrueTree,236,0.5,,
TrueTree,200,0.5,,
TrueTree,411,0.75,,
TrueTree,366,0.5,,
TrueTree,95,0.125,,
TrueTree,406,0.75,,
TrueTree,127,0.25,,
TrueTree,241,0.875,,
TrueTree,112,0.125,,
TrueTree,112,0.25,,
TrueTree,90,0.125,,
TrueTree,113,0.25,,
TrueTree,145,0.25,,
TrueTree,146,0.25,,
TrueTree,222,0.75,,
TrueTree,109,0.125,,
TrueTree,325,0.625,,
TrueTree,101,0.125,,
TrueTree,306,0.625,,
TrueTree,293,0.625,,
TrueTree,192,0.375,,
TrueTree,217,0.625,,
TrueTree,113,0.25,,
TrueTree,186,0.5,,
TrueTree,133,0.25,,
TrueTree,199,0.375,,
TrueTree,165,0.25,,
TrueTree,255,0.375,,
TrueTree,217,0.625,,
TrueTree,225,0.375,,
TrueTree,99,0.125,,
TrueTree,115,0.125,,
TrueTree,95,0.125,,
TrueTree,144,0.25,,
TrueTree,457,0.875,,
TrueTree,564,0.875,,
TrueTree,119,0.25,,
TrueTree,175,0.375,,
TrueTree,157,0.375,,
TrueTree,206,0.25,,
TrueTree,215,0.625,,
TrueTree,198,0.5,,
TrueTree,105,0.125,,
TrueTree,230,0.75,,
TrueTree,113,0.25,,
TrueTree,230,0.75,,
TrueTree,155,0.375,,
TrueTree,109,0.125,,
TrueTree,109,0.125,,
TrueTree,376,0.625,,
TrueTree,133,0.25,,
TrueTree,527,0.875,,
TrueTree,215,0.625,,
TrueTree,124,0.25,,
TrueTree,241,0.875,,
TrueTree,135,0.375,,
TrueTree,104,0.125,,
TrueTree,129,0.375,,
TrueTree,191,0.625,,
TrueTree,202,0.5,,
TrueTree,115,0.125,,
TrueTree,176,0.375,,
TrueTree,132,0.25,,
TrueTree,118,0.125,,
TrueTree,212,0.5,,
TrueTree,187,0.375,,
TrueTree,108,0.25,,
TrueTree,101,0.25,,
TrueTree,146,0.375,,
TrueTree,86,0.125,,
TrueTree,118,0.125,,
TrueTree,407,0.75,,
TrueTree,150,0.375,,
TrueTree,112,0.125,,
TrueTree,165,0.25,,
TrueTree,385,0.75,,
TrueTree,141,0.375,,
TrueTree,90,0.125,,
TrueTree,133,0.375,,
TrueTree,271,0.5,,
TrueTree,141,0.25,,
TrueTree,252,0.5,,
TrueTree,117,0.25,,
TrueTree,125,0.25,,
TrueTree,353,0.5,,
TrueTree,136,0.125,,
TrueTree,108,0.25,,
TrueTree,106,0.25,,
TrueTree,270,0.5,,
TrueTree,160,0.375,,
TrueTree,391,0.75,,
TrueTree,545,0.875,,
TrueTree,141,0.25,,
TrueTree,284,0.5,,
TrueTree,263,0.5,,
TrueTree,186,0.25,,
TrueTree,118,0.125,,
TrueTree,111,0.25,,
TrueTree,216,0.5,,
TrueTree,116,0.25,,
TrueTree,151,0.25,,
TrueTree,310,0.625,,
TrueTree,90,0.125,,
TrueTree,167,0.375,,
TrueTree,101,0.125,,
TrueTree,105,0.25,,
TrueTree,230,0.75,,
TrueTree,241,0.875,,
TrueTree,118,0.125,,
TrueTree,194,0.375,,
TrueTree,217,0.375,,
TrueTree,357,0.625,,
TrueTree,242,0.375,,
TrueTree,167,0.375,,
TrueTree,118,0.125,,
TrueTree,118,0.125,,
TrueTree,396,0.625,,
TrueTree,225,0.5,,
TrueTree,221,0.375,,
TrueTree,188,0.375,,
TrueTree,95,0.125,,
TrueTree,105,0.125,,
TrueTree,115,0.125,,
TrueTree,555,0.875,,
TrueTree,109,0.125,,
TrueTree,169,0.25,,
TrueTree,133,0.25,,
TrueTree,172,0.375,,
TrueTree,117,0.125,,
TrueTree,182,0.5,,
TrueTree,518,0.75,,
TrueTree,117,0.25,,
TrueTree,522,0.875,,
TrueTree,160,0.25,,
TrueTree,535,0.875,,
TrueTree,129,0.375,,
TrueTree,640,0.875,,
TrueTree,184,0.375,,
TrueTree,297,0.5,,
TrueTree,118,0.125,,
TrueTree,204,0.5,,
TrueTree,177,0.375,,
TrueTree,130,0.25,,
TrueTree,112,0.125,,
TrueTree,142,0.375,,
TrueTree,295,0.5,,
TrueTree,159,0.375,,
TrueTree,447,0.625,,
TrueTree,397,0.625,,
TrueTree,101,0.125,,
TrueTree,262,0.5,,
TrueTree,109,0.125,,
TrueTree,505,0.875,,
TrueTree,257,0.5,,
TrueTree,145,0.25,,
TrueTree,118,0.125,,
TrueTree,519,0.75,,
TrueTree,417,0.75,,
TrueTree,133,0.25,,
TrueTree,115,0.125,,
TrueTree,131,0.25,,
TrueTree,117,0.125,,
TrueTree,190,0.375,,
TrueTree,131,0.375,,
TrueTree,118,0.125,,
TrueTree,235,0.5,,
TrueTree,377,0.625,,
TrueTree,117,0.125,,
TrueTree,396,0.625,,
TrueTree,121,0.25,,
TrueTree,104,0.125,,
TrueTree,114,0.25,,
TrueTree,162,0.25,,
TrueTree,166,0.5,,
TrueTree,180,0.5,,
TrueTree,133,0.25,,
TrueTree,384,0.625,,
TrueTree,309,0.5,,
TrueTree,105,0.125,,
TrueTree,116,0.25,,
TrueTree,156,0.25,,
TrueTree,191,0.5,,
TrueTree,278,0.5,,
TrueTree,413,0.75,,
TrueTree,221,0.375,,
TrueTree,249,0.5,,
TrueTree,288,0.375,,
TrueTree,317,0.625,,
TrueTree,217,0.625,,
TrueTree,191,0.5,,
TrueTree,523,0.75,,
TrueTree,217,0.625,,
TrueTree,177,0.375,,
TrueTree,213,0.375,,
TrueTree,136,0.125,,
TrueTree,113,0.25,,
TrueTree,288,0.5,,
TrueTree,109,0.25,,
TrueTree,387,0.625,,
TrueTree,453,0.75,,
TrueTree,396,0.625,,
TrueTree,646,0.875,,
TrueTree,518,0.75,,
TrueTree,353,0.75,,
TrueTree,194,0.375,,
TrueTree,112,0.25,,
TrueTree,288,0.625,,
